issn_id,collection,subject_area
0583-7693,,Ciências Biológicas
0716-0208,,Ciências Exatas e da Terra
0716-0720,,Ciências Biológicas
0716-078X,,Ciências Biológicas
0716-0917,,Ciências Exatas e da Terra
0716-1018,,Ciências da Saúde
0716-2790,,"Linguística, Letras e Artes"
0716-2790,,Ciências Humanas
0716-5455,,Ciências Sociais Aplicadas
0716-5811,,"Linguística, Letras e Artes"
0716-9760,,Ciências Biológicas
0716-9868,,Ciências Biológicas
0716-9868,,Ciências da Saúde
0717-3458,,Ciências Biológicas
0717-3458,,Ciências Exatas e da Terra
0717-3458,,Ciências Sociais Aplicadas
0717-3458,,Engenharias
0717-5000,,Engenharias
0717-5051,,Ciências Sociais Aplicadas
0717-554X,,Ciências Humanas
0717-6538,,Ciências Biológicas
0717-6643,,Ciências Biológicas
0717-6821,,Ciências Sociais Aplicadas
0717-6848,,"Linguística, Letras e Artes"
0717-6996,,Ciências Humanas
0717-6996,,Ciências Sociais Aplicadas
0717-7178,,Ciências Biológicas
0717-7178,,Ciências Exatas e da Terra
0717-7194,,Ciências Humanas
0717-7348,,Ciências da Saúde
0717-7356,,Ciências Humanas
0717-7356,,Ciências Sociais Aplicadas
0717-7518,,Ciências da Saúde
0717-7526,,Ciências da Saúde
0717-7712,,Ciências Biológicas
0717-8832,,Ciências Humanas
0717-9200,,Ciências Agrárias
0717-9227,,Ciências da Saúde
0717-9308,,Ciências da Saúde
0717-9502,,Ciências Biológicas
0717-9502,,Ciências da Saúde
0717-9553,,Ciências da Saúde
0717-9707,,Ciências Exatas e da Terra
0718-0012,,Ciências Sociais Aplicadas
0718-0462,,Ciências Humanas
0718-0705,,Ciências Sociais Aplicadas
0718-0764,,Engenharias
0718-090X,,Ciências Sociais Aplicadas
0718-0934,,"Linguística, Letras e Artes"
0718-0950,,Ciências Sociais Aplicadas
0718-1043,,Ciências Humanas
0718-1043,,Ciências Sociais Aplicadas
0718-1337,,Engenharias
0718-1620,,Ciências Agrárias
0718-1876,,Ciências Sociais Aplicadas
0718-1957,,Ciências Biológicas
0718-1957,,Ciências Exatas e da Terra
0718-2201,,Ciências Humanas
0718-221X,,Ciências Agrárias
0718-2228,,Ciências Sociais Aplicadas
0718-2236,,Ciências Sociais Aplicadas
0718-2244,,Ciências Humanas
0718-2244,,Ciências Sociais Aplicadas
0718-2295,,"Linguística, Letras e Artes"
0718-235X,,Ciências Sociais Aplicadas
0718-2376,,Ciências Humanas
0718-2449,,Ciências da Saúde
0718-2724,,Ciências Sociais Aplicadas
0718-2724,,Engenharias
0718-2791,,Ciências Agrárias
0718-2813,,Engenharias
0718-3305,,Engenharias
0718-3399,,Ciências Sociais Aplicadas
0718-3402,,Ciências Humanas
0718-3402,,Ciências Sociais Aplicadas
0718-3429,,Ciências Agrárias
0718-3437,,Ciências Sociais Aplicadas
0718-3607,,Ciências Sociais Aplicadas
0718-381X,,Ciências da Saúde
0718-4026,,Ciências da Saúde
0718-4360,,Ciências Humanas
0718-4565,,Ciências Sociais Aplicadas
0718-4727,,Ciências Humanas
0718-4808,,Ciências Sociais Aplicadas
